run_id,condition,persona_id,repeat,decision,transportation_mode,destination_type,departure_urgency,income_level,vehicle_access,family_structure,medical_caregiving_responsibilities,wildfire_risk_level,transit_access,distance_to_nearest_shelter,road_travel_time_to_shelter,distance_to_hazard_zone,has_children,has_medical_need,is_low_income,mode_hard_violation,destination_hard_violation,mode_soft_issue,destination_soft_issue,soft_feasibility_issue,hard_violation_count,soft_violation_count,spatial_inconsistency_count,any_hard_violation,any_soft_issue,any_violation,mode_feasible,destination_feasible,feasibility_score,spatial_consistency_score,hard_violation_notes,soft_violation_notes,spatial_inconsistency_notes,violation_notes
ACS-001-baseline-r1,baseline,ACS-001,1,Evacuate now,Public transit,Friend/relative home,High,Lower-middle,No,Single adult household,Older adult mobility or medication needs,High,Good,2.3,15,1.3,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-001-spatial_grounded-r1,spatial_grounded,ACS-001,1,Evacuate now,Public transit,Public shelter,High,Lower-middle,No,Single adult household,Older adult mobility or medication needs,High,Good,2.3,15,1.3,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-002-baseline-r1,baseline,ACS-002,1,Evacuate now,Private vehicle,Friend/relative home,High,Low,Yes,Two-adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-002-spatial_grounded-r1,spatial_grounded,ACS-002,1,Evacuate now,Private vehicle,Public shelter,High,Low,Yes,Two-adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-003-baseline-r1,baseline,ACS-003,1,Evacuate now,Public transit,Friend/relative home,High,Middle,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-003-spatial_grounded-r1,spatial_grounded,ACS-003,1,Evacuate now,Public transit,Public shelter,High,Middle,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-004-baseline-r1,baseline,ACS-004,1,Evacuate now,Public transit,Friend/relative home,High,Low,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-004-spatial_grounded-r1,spatial_grounded,ACS-004,1,Evacuate now,Public transit,Public shelter,High,Low,No,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0.9,0.75,,,reasoning_implies_vehicle_without_access,reasoning_implies_vehicle_without_access
ACS-005-baseline-r1,baseline,ACS-005,1,Evacuate now,Private vehicle,Friend/relative home,High,Low,Yes,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
ACS-005-spatial_grounded-r1,spatial_grounded,ACS-005,1,Evacuate now,Private vehicle,Public shelter,High,Low,Yes,Single adult household,None,High,Good,2.3,15,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,,,,
